timestamp_utc,price_eur,country_code,source_id,ingested_at
2026-08-26 14:30:00,0.01,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 14:45:00,0.01,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 15:00:00,0.51,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 15:15:00,1.08,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 15:30:00,1.08,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 15:45:00,1.9,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 16:00:00,1.09,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 16:15:00,3.43,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 16:30:00,5.88,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 16:45:00,30.34,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 17:00:00,38.66,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 17:15:00,72.5,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 17:30:00,102.4,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 17:45:00,141.57,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 18:00:00,169.48,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 18:15:00,180.01,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 18:30:00,185.89,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 18:45:00,190.5,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 19:00:00,189.22,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 19:15:00,185.65,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 19:30:00,182.45,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 19:45:00,174.3,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
2026-08-26 20:00:00,176.28,ES,entsoe_es_dayahead,2026-08-28 21:48:37.970455
